Hash Code 2021

Simulation
----------
Duration     : 1640
Intersections: 10000
Streets      : 35030
Cars         : 1000
Max score    : 1328389
Bonus points : 100

Schedule
--------
Intersections   : 7660
Street lights   : 11472
Arrived cars    : 998
Earliest arrival: 1
Latest arrival  : 1604
Crossed streets : 11472
Total wait time : 16443
Schedule score  : 1311790
Incremental Improver: 100 rounds
Greedy improver: 10 min wait time, 500 max streets per round
Street 27115, intersection 1981: 10 total wait time, 4 streets in the intersection
Street 19996, intersection 3306: 10 total wait time, 2 streets in the intersection
Street 3208, intersection 1028: 10 total wait time, 2 streets in the intersection
Street 22445, intersection 465: 10 total wait time, 2 streets in the intersection
Street 24933, intersection 6837: 10 total wait time, 2 streets in the intersection
Round 1, new score: 1311792
Greedy improver: 10 min wait time, 500 max streets per round
Street 22968, intersection 5660: 46 total wait time, 2 streets in the intersection
Street 13864, intersection 5768: 46 total wait time, 2 streets in the intersection
Street 23622, intersection 7241: 45 total wait time, 3 streets in the intersection
Street 5584, intersection 387: 43 total wait time, 2 streets in the intersection
Street 17926, intersection 608: 42 total wait time, 4 streets in the intersection
Street 20695, intersection 6929: 41 total wait time, 3 streets in the intersection
Street 233, intersection 7752: 39 total wait time, 4 streets in the intersection
Street 12668, intersection 3309: 39 total wait time, 3 streets in the intersection
Street 28877, intersection 443: 38 total wait time, 3 streets in the intersection
Street 32470, intersection 1294: 37 total wait time, 3 streets in the intersection
Street 20676, intersection 56: 36 total wait time, 3 streets in the intersection
Street 31979, intersection 5771: 35 total wait time, 2 streets in the intersection
Street 19740, intersection 393: 35 total wait time, 2 streets in the intersection
  => New best score by adding 0 to street 19740: 1311793
Street 32620, intersection 3303: 34 total wait time, 3 streets in the intersection
Street 6373, intersection 1443: 34 total wait time, 2 streets in the intersection
Street 32120, intersection 5273: 34 total wait time, 3 streets in the intersection
Street 16882, intersection 1779: 34 total wait time, 3 streets in the intersection
Street 17705, intersection 360: 33 total wait time, 3 streets in the intersection
Street 13530, intersection 1296: 33 total wait time, 2 streets in the intersection
Street 26376, intersection 7190: 32 total wait time, 2 streets in the intersection
Street 7619, intersection 7752: 32 total wait time, 4 streets in the intersection
Street 1355, intersection 6586: 32 total wait time, 3 streets in the intersection
Street 7757, intersection 7334: 32 total wait time, 4 streets in the intersection
Street 21350, intersection 3727: 32 total wait time, 3 streets in the intersection
Street 8887, intersection 677: 31 total wait time, 3 streets in the intersection
Street 10512, intersection 7852: 30 total wait time, 4 streets in the intersection
Street 2975, intersection 7757: 30 total wait time, 3 streets in the intersection
Street 22747, intersection 4402: 30 total wait time, 2 streets in the intersection
Street 10833, intersection 1713: 29 total wait time, 3 streets in the intersection
Street 3736, intersection 4326: 28 total wait time, 2 streets in the intersection
Street 24427, intersection 780: 28 total wait time, 4 streets in the intersection
Street 7916, intersection 6897: 27 total wait time, 2 streets in the intersection
Street 18161, intersection 6681: 26 total wait time, 2 streets in the intersection
Street 28160, intersection 2366: 26 total wait time, 3 streets in the intersection
Street 23856, intersection 6632: 26 total wait time, 3 streets in the intersection
Street 1091, intersection 6485: 26 total wait time, 2 streets in the intersection
Street 4104, intersection 7762: 26 total wait time, 3 streets in the intersection
Street 26974, intersection 258: 25 total wait time, 2 streets in the intersection
Street 22444, intersection 376: 25 total wait time, 2 streets in the intersection
Street 1890, intersection 1619: 25 total wait time, 3 streets in the intersection
Street 21622, intersection 1626: 24 total wait time, 2 streets in the intersection
Street 11059, intersection 3533: 24 total wait time, 2 streets in the intersection
Street 31856, intersection 7842: 24 total wait time, 3 streets in the intersection
Street 12349, intersection 4437: 24 total wait time, 3 streets in the intersection
Street 26133, intersection 200: 24 total wait time, 2 streets in the intersection
Street 2591, intersection 7219: 24 total wait time, 3 streets in the intersection
Street 13832, intersection 799: 23 total wait time, 2 streets in the intersection
Street 13337, intersection 6432: 23 total wait time, 2 streets in the intersection
Street 33479, intersection 3264: 23 total wait time, 3 streets in the intersection
Street 9954, intersection 6774: 23 total wait time, 3 streets in the intersection
Street 18030, intersection 4440: 23 total wait time, 3 streets in the intersection
Street 11943, intersection 380: 23 total wait time, 2 streets in the intersection
Street 1945, intersection 5763: 22 total wait time, 2 streets in the intersection
Street 25497, intersection 1623: 22 total wait time, 4 streets in the intersection
Street 20873, intersection 7399: 22 total wait time, 3 streets in the intersection
Street 25006, intersection 7334: 22 total wait time, 4 streets in the intersection
Street 13422, intersection 5685: 22 total wait time, 2 streets in the intersection
Street 13810, intersection 3668: 22 total wait time, 3 streets in the intersection
Street 1849, intersection 2880: 22 total wait time, 2 streets in the intersection
Street 2069, intersection 1631: 22 total wait time, 2 streets in the intersection
Street 24650, intersection 5758: 21 total wait time, 2 streets in the intersection
Street 27192, intersection 3463: 21 total wait time, 2 streets in the intersection
Street 8473, intersection 2594: 21 total wait time, 3 streets in the intersection
Street 9446, intersection 954: 21 total wait time, 3 streets in the intersection
Street 14392, intersection 4185: 21 total wait time, 2 streets in the intersection
Street 28780, intersection 1629: 21 total wait time, 2 streets in the intersection
Street 7105, intersection 7251: 21 total wait time, 3 streets in the intersection
Street 5581, intersection 6176: 21 total wait time, 2 streets in the intersection
Street 26210, intersection 6510: 21 total wait time, 2 streets in the intersection
Street 24814, intersection 7768: 21 total wait time, 3 streets in the intersection
Street 29321, intersection 7266: 21 total wait time, 3 streets in the intersection
Street 27912, intersection 3047: 21 total wait time, 3 streets in the intersection
Street 7103, intersection 7249: 21 total wait time, 2 streets in the intersection
Street 6118, intersection 3194: 21 total wait time, 2 streets in the intersection
Street 33904, intersection 3185: 20 total wait time, 2 streets in the intersection
Street 21328, intersection 6027: 20 total wait time, 3 streets in the intersection
Street 19017, intersection 4826: 20 total wait time, 2 streets in the intersection
Street 7915, intersection 7004: 20 total wait time, 4 streets in the intersection
Street 34187, intersection 8207: 20 total wait time, 4 streets in the intersection
Street 13641, intersection 1622: 20 total wait time, 2 streets in the intersection
Street 26868, intersection 5849: 20 total wait time, 2 streets in the intersection
Street 1178, intersection 4825: 20 total wait time, 2 streets in the intersection
Street 4802, intersection 2377: 19 total wait time, 2 streets in the intersection
Street 11122, intersection 4331: 19 total wait time, 2 streets in the intersection
Street 12520, intersection 9506: 19 total wait time, 3 streets in the intersection
Street 5006, intersection 2960: 19 total wait time, 3 streets in the intersection
Street 32888, intersection 4554: 19 total wait time, 2 streets in the intersection
Street 19366, intersection 6276: 19 total wait time, 2 streets in the intersection
Street 9183, intersection 4019: 19 total wait time, 2 streets in the intersection
Street 22634, intersection 5667: 19 total wait time, 2 streets in the intersection
Street 8414, intersection 4021: 19 total wait time, 2 streets in the intersection
Street 22029, intersection 2487: 19 total wait time, 2 streets in the intersection
Street 13401, intersection 5370: 19 total wait time, 2 streets in the intersection
Street 32870, intersection 2675: 18 total wait time, 4 streets in the intersection
Street 6558, intersection 2879: 18 total wait time, 3 streets in the intersection
Street 17556, intersection 6511: 18 total wait time, 3 streets in the intersection
Street 16592, intersection 4362: 18 total wait time, 2 streets in the intersection
Street 2685, intersection 590: 18 total wait time, 2 streets in the intersection
Street 31141, intersection 1929: 18 total wait time, 2 streets in the intersection
Street 21220, intersection 3664: 18 total wait time, 3 streets in the intersection
Street 7948, intersection 4606: 18 total wait time, 2 streets in the intersection
Street 7239, intersection 4500: 18 total wait time, 4 streets in the intersection
Street 19650, intersection 4539: 18 total wait time, 3 streets in the intersection
Street 22459, intersection 4022: 18 total wait time, 2 streets in the intersection
Street 9898, intersection 8981: 18 total wait time, 2 streets in the intersection
Street 24908, intersection 5678: 18 total wait time, 3 streets in the intersection
Street 30115, intersection 4446: 18 total wait time, 2 streets in the intersection
Street 1558, intersection 2081: 18 total wait time, 2 streets in the intersection
Street 2492, intersection 748: 18 total wait time, 3 streets in the intersection
Street 13231, intersection 2033: 18 total wait time, 2 streets in the intersection
Street 12789, intersection 6515: 18 total wait time, 2 streets in the intersection
Street 11636, intersection 4740: 18 total wait time, 2 streets in the intersection
